asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories
B001BVTMZ6,A2NDM4CIJ4YGP5,"Adam G. Kirchmann ""Adam G. Kirchmann""","[0, 0]","Unnecessary equipment for Ipod touch 2g, unless your fingers are gigantic. Then maybe you might need this. I gave mine away.",1.0,1252108800,"09 5, 2009","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A1DWVA2JDP7HTH,"Amazon Customer ""ElleMaye""","[0, 1]","These are very convient, and easy to use!! It keeps me from dirtying up my Iphone! I would recommend this item to others!!",4.0,1381449600,"10 11, 2013","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A35IH8ZU961W1T,Amazon Customer,"[0, 1]","These work great. I purchased two, one for myself and one for my father-in law. These arrived on time and in great shape.",5.0,1365638400,"04 11, 2013","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A12HGA7UPD8PFO,"Belinda J. J. Enkins ""BJJ""","[0, 0]",great is's gentle on my ipod and the price was a steal and i wouldbuy it again and again,5.0,1245542400,"06 21, 2009","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A3OXHLG6DIBRW8,"C. Hill ""CFH""","[0, 0]","This ""Stylus Pen"" is not going to work out well for use on my iTouch. The problem is that the rubber tip is not good for sliding on the touch screen, so it sticks and skips on the surface. It also feels like pressing hard enough to make the sliding work (most of the time) is going to brake the iTouch and, while I'm not sure how much pressure that would require, I'm not going to chance it. It does work just fine for selection and pressing icons\buttons, but that's about it.The ""Pen"" itself is a fairly light aluminum body with a handy pocket clip, no complaints there.My search for a good stylus continues - Not Recommended!CFH",2.0,1266883200,"02 23, 2010","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A37VH7H22IQRVV,cscoot03,"[0, 0]","a tubular aluminum, 4&#34; long stylus with a soft cushion for a tip.  Not really worth buying.  If you need a stylus do better research, save your money & buy something better.",2.0,1363046400,"03 12, 2013","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A101VKDCZVFIAA,"Cyberian ""Cyberian""","[2, 3]","I bought a whole collection of various styluses for my iPod Touch. I've used Handspring and Palm PDAs for about 10 years (Visor, m515, Zire 71, Tungsten TX) and just don't like using my chubby fingers for input on the Touch. These rubber-tipped styluses and their foam-tipped cousins don't do the job. The iPhone/Touch screen surface is not designed to work with a stylus. Finding a place to keep the stylus is also a problem. With a PDA, there is a slot for it. For my iPod Touch, there is no slot, so the stylus is in my pocket, not with the Touch. I tried using these styluses for a few days, then gave it up and went back to my pudgy fingers. I could write five times faster using Graffiti, but my Palm died and alas, Palm no longer sells anything but phones.",1.0,1250640000,"08 19, 2009","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A23GFTVIETX7DS,Debbie Lee Wesselmann,"[0, 0]","I bought this stylus for my father who was having trouble typing and selecting icons on the iPhone.  He has thick fingers, and he did not have the accuracy he needed -- until I got him this. The rubberized tip keeps the stylus from sliding across the screen.  Yes, it does leave little circles and crescents on the surface; however, they can usually be wiped off, just like fingerprints.  But, hey, he can now use his iPhone without the initial frustration.The stylus feels like one from a PDA:  light, thin, and pretty small.  I found it tiring after a while to grip because of its narrow width.  I could ""flick"" the screen with it, although I much prefer using my finger, and typing on the virtual keypad was easier and more accurate than with a finger (fewer errors - but thank God for Apple's word correction software!). The ""flick"" was slower and slightly more difficult to execute with the stylus, but it was doable.  Still, I much prefer using my finger.  The only thing this cannot do it is the zoom in and zoom out features since that requires two fingers.  This device is designed for those who, for whatever reason, find that they cannot enjoy the iPhone's features without a more accurate tool.  Hint:  Give yourself a couple of weeks of adjusting to the touchscreen before you decide this.  It does take time.Because the iPhone doesn't have any place to store a stylus, you may find yourself misplacing yours.  Once you've tested this and liked it, I recommend buying spares.  It's a great option for those who struggle with the touchscreen; however, for most, including me, using fingertips is better.-- Debbie Lee Wesselmann",4.0,1260057600,"12 6, 2009","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A21DV1MFFI1PBZ,"dreamcatcher ""wildlife lover""","[1, 1]","for the price I paid...it is ok, but the tip came off quite easily had to glue it back...I would recomend it...just be aware tip might come off...but again for the price you can not go wrong and it works ok. and yes I would buy it again",3.0,1262131200,"12 30, 2009","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
B001BVTMZ6,A2IBAICYV831EW,evsndrs,"[2, 2]",If you're looking for something to make using your touch screen easier to use....save your money.  This product does not work well at all.  You have to push hard on the screen (which can't be good for the screen) and is more of a pain than it's worth.,1.0,1281312000,"08 9, 2010","Stylus Pen CLIP for Apple iPhone, iPod Touch (Metal Silver Body, Black Ends)",1.27,http://ecx.images-amazon.com/images/I/312HdHZm%2B5L._SY300_.jpg,{'Cell Phones & Accessories': 63675},Apple,"[['Cell Phones & Accessories', 'Accessories', 'Stylus Pens']]"
