asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories
B0002SYC5O,A11BZY7WAK21O7,AG,"[1, 1]","Long battery life, connects quickly to phone. Phone callers can't even tell I am on a BT headset, no complaints of inablility to hear my voice will on a call. It is not for people with wide necks, does not stretch much. Can slide back when active and the earphones are not in your ears. Otherwise light, controls are easy to reach and distiguish. I have the similar LG HBS730 but prefer these due to the ease of finding the buttons you want but prefer the flexible neck of the LGs.",4.0,1403222400,"06 20, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A1HTXSEDVJBXEM,Amazon Customer,"[25, 30]","I have had an LG-700 for a few years, and I love it.  But I get complaints from people about the microphone picking up extraneous noises when I am on the phone in a supermarket, or working in the kitchen, so when it started to wear out, I tried this one.  Well....this does have pretty good sound, BUT, the rigid frame for the ""yoke"" is a problem for this guy with a 17.5"" neck.  And the location of the on/off switch is annoying (on the back).  Plus, whereas the LG-700 has 6 buttons, this has 4, and the buttons are sorely missed for all of the needed functions of such a headset.  I often get the ""Equalization changed"" message when I am trying to get Siri to pop up...very annoying!  On the plus side, it does seem to connect to my iPhone quickly, and the signal seems pretty stable.All in all, it is nice...but misses in a few ways.****************Update:  After 3 weeks, I returned this to Amazon.  The fit was just too annoying.  Thank you Amazon, for your great return policies!",3.0,1392249600,"02 13, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A3NGLERSW7OTUI,B100,"[1, 1]","Pros:1) Excellent call clarity and loudness both ways2) Excellent for listening to music3) Fits snugly and stays put around your neck while exercising (unlike the LG Electronics Tone+ HBS-730)4) Feels much better than theLG Electronics Tone+ HBS-730 when in contact with your skinCons:1) Connectivity is not as good as with the LG Electronics Tone+ HBS-730, e.g., it does not connect to 2 devices as once and you have to first disconnect it from the device it's currently connected to before it connects to a new device. The LG does not have this annoying problem.2) The power button is located all the way in the back and it's awkward and difficult to power on or off,  unlike theLG Electronics Tone+ HBS-7303) Does not vibrate when you receive a call4) Does not have easily accessible buttons like the LG Electronics Tone+ HBS-7305) Does not look as good as the LG Electronics Tone+ HBS-7306) Does not announce the battery level like the LG7) The battery life is good but subpar to the LGOverall this Bluetooth Headset offers excellent sound quality (as good as you get with the LG Electronics Tone+ HBS-730) but overall it's very poorly and unintuitively designed compared with the LG Electronics Tone+ HBS-730 and does not have as good, seamless and versatile connectivityI've had both for about a month and the LG Electronics Tone+ HBS-730 is clearly the better headset overall.I will be returning this one mainly because I'm tired of the problematic connectivity and the very unintuitive design.",4.0,1397260800,"04 12, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A2OCJ6SL0NZ1XF,Cmh93,"[0, 0]","I bought these to replace my LG headset which kept dropping audio during phone calls.  The sound quality is very good.  It has a longer range than the LG. Overall very pleased.  The software that runs the headset is not as advanced as the LG, it doesn't announce the battery level and it can only be connected to one device at a time.  When it announces it is connected, if two of your devices have bluetooth on at the same time, you don't know which one it is connected to because it does not identify the unit it is connected to.Overall, though, I like them a lot.  The sound quality is very important to me and I wear them a lot when I am listening to programs on netflix and for my day-to-day phone use.",4.0,1403568000,"06 24, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,AVPNQUVZWMDSX,"esanta ""esanta""","[4, 6]","I have been a fan of the LG HBS series since the amazingHBS-700and also own theHBS-730and the newHBS-800.With the SF500, Motorola has clearly taken a more than close look at the HBS series and attempted to improve on it. Here's how I find these two compare:- Battery life: Moto wins. This thing keeps on going, and lasts even longer than the already amazing HBS-730. Too bad the remaining battery life estimator is so inaccurate (it reports 4 hours remaining on a full charge, when it's much closer to 10)- Convenience and durability: Moto wins again. The Buds sit tight around your neck and don't bounce. The cords are not as fragile on the LGs, and the magnets holding the earbuds are much stronger on the Moto Buds. Unlike the HBS-730 and 800, the Buds do not report their power level to the Bluetooth host (the iPhone shows a little bar next to the bluetooth icon indicating the battery status when you use the LG headphones). That's funny since the older SF600 have the feature.- Ergonomy: LG wins big time. The button layout and functionality are intuitive and logical on the LG, and completely convoluted and inconvenient on the Buds; on the Buds, the same button is used for FF (one press) or REW (two presses); also, the power button on the LG is a sliding switch, whereas the Buds use an electronic switch which makes it much more difficult to find out if your headset is on or off.- Sound quality: I would rate the Buds somewhere between the 700 and the 730; mostly, they lack bass and presence.- Range: excellent, but the outlandish 150ft range advertised is only available when connected to a Bluetooth Class 1 device, and these are rare -- only featured on a few Motorola phones as far as I could tell. When connected to a Class 2 device (which most devices are) the range is 33ft like all other devices; I think Motorola is a little disingenuous when advertising this extended range.In conclusion... They're not bad, and if the LG series didn't exist they would deserve 5 stars. However, considering they're a blatant rip-off of a successful concept, it's disappointing that Motorola improved on some of the flaws of the HBS series (mostly the cord durability and the magnet strength) but failed to pick up on the ergonomy (button layout, power switch).Which one should you pick? in my opinion, the cheapest one you can find, unless you need to connect to two devices, in which case the Moto Buds or the HBS-800 are a must; and if you easily get irritated and confused by complicated controls, stay away from the Buds.Recommended, but they're not the LG HBS-series killer that Motorola probably designed them to be.",4.0,1397779200,"04 18, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A1FXA2L044GI8C,gary,"[0, 0]",I was hoping for a blue tooth that will connect to more than one phone. I already had the LG and was hoping the Motorola would do better but I was let down. It is a great buy if you are only using one cell phone.,3.0,1397001600,"04 9, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A38Z5V5GMWUM86,Greg C,"[0, 0]",The headset sounds excellent.  The earbuds will not aggravate your ears when they are in... even for long lengths of time.  I would definitely recommend these.,5.0,1403308800,"06 21, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,AEC0BTMNIZZSL,J. Sharp,"[46, 47]","Update: I've been asked how they hold up with sweat (see below). No problem working up a sweat on the treadmill, but I must stress that I've not put in a summer run. I also must say that I do not expect longevity from a non-sweatoroof product, and that the s11 headphones are designed with a sweatproof nano coating. HOWEVER, since you asked, they still sound and work excellent. They bounce around running, but it's not intolerable... Just not ideal.  BATTERY: I've used them every day since I got them, and often times days at the house studying all day and going to the gym.  They last from morning to night constantly connected.  I often forget I'm wearing them when I turn on my music and don't hear any sound from my phone/tablet.Edit: just for the record, the Motorola site says these are NOT for working out (under questions about product, it says not sweatproof and should be kept away from moisture). I'm going to work out in them anyway and I'll report back when they fail.=============================================================I bought the jaybird bluebuds x for my girlfriend, and I've used them several times, so that is my comparison point.These headphones have a very utilitarian, price conscious design. They don't sound as awesome as the $180 bluebuds, and they aren't as sleek as them (bluebuds are just a cord with tiny ear pieces). BUT, they are very easy to control, very light, and sound very good. I'm not taking away anything by saying they don't sound as good as the bluebuds... The bluebuds sound as good as Bose or klipsch wired models of similar cost (even MKBHD says they are amazing). The Motorola buds really sound great. I'd choose them based on sound over any of the cheaper wired sets I have (skull candy, JVC, etc.)The ear pieces, at first, I was worried about them. They didn't look like they would be very secure, but I was wrong. You can easily work out with them and they will stay in. And they swivel a bit at the ear pieces, so every time you move, you don't hear a bunch of thumping like many in-ear wired sets.And taking them out to hear the world around you is nice, because of the magnets. No flopping around.The built-in equalizer settings are nice, the controls are easy, and they stay around your neck when laying on your back.So you sacrifice some portability over the bluebuds, but you get a great ease of use, very good sound, and less than half the price.And truthfully, while they aren't super stylish... People are walking around with those giant beats studio headphones on. These look way less ridiculous than that, and really aren't that bad. Don't wear them to a job interview.",5.0,1389657600,"01 14, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A15B3VHZ6JG4CQ,"J. Wilson ""yufasa""","[0, 0]","Pro'sUnit has great range.Comfortable in the ears, can wear it all day.Battery life is awesome.Mute function make this very useful for someone that spends a lot of time on the conference calls.Con'sLasted two months and now will not turn on anymore. Trying to get motorola to fix it, but no help so far.Audio books may have issues. The headset will cut out during short pauses and makes you lose out on a few seconds of the story as it reconnects. Only certain books caused this behavior.If it did not quit on me I would certainly recommend it as a phone headset.",1.0,1404000000,"06 29, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
B0002SYC5O,A1FB6YPF0F62LG,Luis E. Rivera,"[0, 0]",I can walk away father than the next leading one and it doesn't fade out even thru some of my thickest walls,5.0,1400716800,"05 22, 2014",Motorola Buds SF500 Universal Bluetooth Stereo Headset - Retail Packaging - White,57.99,http://ecx.images-amazon.com/images/I/310fzxDbttL._SX300_.jpg,{'Cell Phones & Accessories': 13835},Motorola,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]"
