asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories
B0000AKAJL,AKSFZ4G1AXYFC,"C.E. ""Frank""","[0, 0]","Considering how old the phones that use this type of battery are, I am not surprised that I received a used battery. I am a little mad at the fact that the product listing said these batteries would be new though. The battery I received holds the charge for about a day, which is the same as my old one.Disappointing indeed.",2.0,1390435200,"01 23, 2014",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0000AKAJL,A1UBUTMI5LN1MY,Gary Fielder,"[0, 0]",Good product. Quick shipment was provided by the vendor and item was exactly as described. I am Very satisfied with this purchase,5.0,1347753600,"09 16, 2012",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0000AKAJL,A1MHLA5JHGL0L9,HemiX2,"[0, 0]","This is an excellent replacement battery, it fit just fine and the price was amazing. Anyone needing to replace that old battery that won't hold a charge should totally look into getting one of these!",5.0,1319241600,"10 22, 2011",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0000AKAJL,AVJORH3ACR2A5,L. Gonzalez,"[0, 0]",The item is working very good. My phone does not have problem with power with this battery and me neither.,5.0,1368057600,"05 9, 2013",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0000AKAJL,A1AV5Y9AJF2GA7,"mermiz ""Jean S Simon""","[0, 2]","If I'd bought this battery where I bought the cell phone, it would've cost much, much more.  I didn't need a new phone - just a new battery - so instead of adding another used cell phone to the trash heap, I've recycled a used battery and kept the phone I really like!  The phone now works like new!",5.0,1278201600,"07 4, 2010",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0000AKAJL,A1Q3B4Q6W4FX46,"Richard A Drennan ""R Drennan""","[0, 0]","I bought this to try and repair a POS dash cam, even though this battery is great it was not the issue... It fit perfectly and accepted charge as it should.",5.0,1366329600,"04 19, 2013",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0000AKAJL,A1FSFBDB66WWVJ,Rob,"[0, 0]","Works great. I've been using this for over a year, seems to hold charge good as OEM (it is OEM)",5.0,1384387200,"11 14, 2013",Nokia BL-4C Li-Ion Battery for Nokia 5100/6100 Phones,5.29,http://ecx.images-amazon.com/images/I/41MT8BF89WL._SX300_.jpg,{'Cell Phones & Accessories': 12943},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries']]"
B0006HP7NC,ASPN95ORQQDS0,,"[0, 0]","Perfect for my Contour Roam GPS camera.  I got two of these to have as powered spares, along with a portable charger (that also charges via USB), so I can always keep one charging, one charged, and one being used!",5.0,1405296000,"07 14, 2014",Nokia BL-5C Extended Li-Ion Battery,1.94,http://ecx.images-amazon.com/images/I/41CVGgRLFpL._SY300_.jpg,{'Cell Phones & Accessories': 2458},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries', 'Internal Batteries']]"
B0006HP7NC,A3G2FOJL92215L,BigBull,"[1, 1]",I bought this from Amazon to have an alternate batters from my GPS logger and it gets the job done. Its cheap and worth the price...,4.0,1327881600,"01 30, 2012",Nokia BL-5C Extended Li-Ion Battery,1.94,http://ecx.images-amazon.com/images/I/41CVGgRLFpL._SY300_.jpg,{'Cell Phones & Accessories': 2458},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries', 'Internal Batteries']]"
B0006HP7NC,AN1MS7QNQT2WL,Big C,"[0, 0]","I bought this battery to replace the one in my dash cam. i charged it up like the instructions said to do, and wow. i can use my dash cam a long time before plugging it in to the power point in my truck.the price of this battery is really good for the service that you will receive from it.if you need a new battery get one of these.",5.0,1391644800,"02 6, 2014",Nokia BL-5C Extended Li-Ion Battery,1.94,http://ecx.images-amazon.com/images/I/41CVGgRLFpL._SY300_.jpg,{'Cell Phones & Accessories': 2458},Nokia,"[['Cell Phones & Accessories', 'Accessories', 'Batteries', 'Internal Batteries']]"
