asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories
B000NLSGA2,AHY3LIK8QYUY,Anthony,"[0, 0]",Best cover ever. I've already dropped the phone twice and the cover didn't even scratch. One year warranty. Peels right off and pops right on...,5.0,1402963200,"06 17, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A37M3QISMMJJHX,"APSS ""SERGIO""","[0, 0]",Excellent for people that want to protect completely their phone. For me is fantastic and the best in the market: Otterbox defender is the best of the best for full protection. Recommended the otterbox and also the seller is recommended: Amazon.,5.0,1404259200,"07 2, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A3AKUUZ992VK0L,Aubrey Moore,"[0, 0]",it was for my baby girl she like it so she happy with it,4.0,1404259200,"07 2, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A3LZXB1SBY0GVB,"B. Renken ""Photographer""","[0, 0]","Simply superb quality protection from every angle.  I can't see how you could damage your phone with this case on.  Wish it was not so bulky, but that comes with this level of drop protection.As a plus, get some 9H or harder (do they make that yet) tempered glass as a screen cover.  I really like the Spigen nano for the record.  Both of these products combined really make for an almost indestructible phone!",5.0,1398729600,"04 29, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,AG2YXYIQ8TLTA,"CandysRaves (and Rants) ""CandysRaves""","[0, 0]","I love Otterbox. No, I LOVE Otterbox. When I saw this come in for review I nearly did a dance for joy because, as we all know, they aren't cheap. These things are like armor for your phone. I have dropped my phone, sat on it, threw it and all kinds of stuff while it had an Otterbox on it and never had a scratched added to it.The problem with this &#34;Defender&#34; series is the screen protector portion. See, getting this thing apart to put it on requires supernatural skills - the same amazing skills are required to get it off once it's on your phone as well. So, yeah, before I could even get it apart to put it on the phone, my finger went through the screen protector, so that part was broken.It takes a little doing to get it on your phone. Maybe it's because I'm not actually a superhero, but after a little grunting and a lot of cursing, it was on. I snapped the screen on it and the rest of it and.... then decided to see how well I could get it off.Hahahahahaha... a bloody finger and more curse words later, it was off.It's on there now and I do have a regular peel and stick screen protector on it, so I never bothered to pick up one of the spares you can buy.It's a GOOD case, don't get me wrong. I have never used the clip that you can optionally use with it, but it looks like it's good quality as well.However, if you do not have Hulk hands, you might want to look at another Otterbox series. This one means business and I don't want to end up with stitches every time I need to open it up to take out a battery or whatever.So, I love Otterbox. I will continue to buy Otterbox. But I will NOT be buying this series. I'm also thinking that when I buy a new case, I should probably just buy a new phone too because I'm not sure I can get this thing off again. *laughing*Recommended for those that need series protection for their phones and don't have a need to swap the case or remove it.",3.0,1403740800,"06 26, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A114TOPX6HZW0,Cece39401,"[0, 0]","I love my otterbox. Fits like a glove and my phone is protected; therefore,  it's worth the money.  Protection,  protection,  protection",5.0,1403222400,"06 20, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A105L5EX9D0NH8,Dueces Wild,"[73, 77]","I was a little hesitant at first when ordering this case due to the fact that the defender cases have been super bulky in the past. Much to my surprise, Otterbox and their Defender Series Cases have come a long way since I contemplated ordering one a few years ago. This case is extremely thin for the protection it seems to offer. The build quality is superb and should protect the phone very well! I love the built in screen protector as opposed to trying to line up the sticky screen protectors with a few of the cheaper cases. The price seems fair as well. I paid $49.95 on Amazon. If ordered directly from Otterbox it will cost around $10 more.At the time of this post, the Lifeproof Case for the s5 has not been released. A huge deciding factor in choosing Otterbox over Lifeproof is the mixed reviews the s4 Lifeproof Case received about echoing when people try to talk to you.The belt clip seems to be nice and lock the case into place, but realistically I'll never use it. I keep my phone in my pocket. The buttons seem stiff, but from what I've read it's common at first on Otterbox cases.Overall, this case is a little pricey costing about 25% of the phone's cost after a contract renewal, but I feel it's definitely worth it (especially when you consider the alternative is paying full price for an s5 because yours broke in the middle of your contract). Lifeproof will cost you about $20-$30 more.I'll try to update this review accordingly as time progresses!*****UPDATE: 7/8/2014 - I've had this case for a little over 3 months now and I still really like it! I've only taken it off of my phone 1 time since purchasing (to clean the dust out and reset the phone by pulling the battery). It was very easy and quick to remove. This case has definitely protected my phone against my toddler's destructive ways on numerous occasions. The only problem I've noticed is that sometimes the case's buttons will slip off of the phone's buttons when I try to adjust the volume. It's not a big deal. I just hit the button again until it works correctly.The screen protector is still smooth and my finger is able to glide across it effortlessly, which is nice since I am addicted to my phone and use it almost nonstop.I've talked several coworkers and friends into purchasing this case. So far I haven't had any complaints from them!",5.0,1396915200,"04 8, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A3D5VDCAVEVXSD,DukesDad,"[0, 0]",The OtterBox Defender Series Is A Great Investment To Protect The Samsung Galaxy S 5 Phone.  High Quality That Wraps Around Your Galaxy S 5 and has a Screen Protector Built Right Into It.  I Have Not Dropped Mine But I Would Think That As Well As It Is Constructed It Will Protect The Phone If That Ever Happens.  Great Item And Well Worth The Money That They Are Sold For.,5.0,1404950400,"07 10, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,A3G97VUHNXJ5MM,emonk,"[0, 0]","Case is large, certainly, but as are all cases of this type.  It fits well, even with a third-party wireless charging card inside the battery compartment.  I wouldn't say it exactly looks good though.  If you've had an Otterbox, it looks like the rest, you're sacrificing appearance and size for protection.  I got it mainly because it comes with a belt clip, and the GS5 is a pretty big phone to carry in your pocket, especially as the days get warmer.It seems to attract and hold dust a lot.  Perhaps lighter colors wouldn't show that as much.  Personally, I find that big chunk of rubber protecting the headphone jack unnecessary.  The headphone jack on this phone is waterproof anyway, and there's a very big cutout in the bottom to access the charging port.",4.0,1399334400,"05 6, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
B000NLSGA2,AE9QWJETO90U0,"Hasan al-Basri ""hasan""","[1, 1]","I've used Defender series cases on two Sammy S4s (mine and wife's) and my older 4th Gen Ipod Touch. I couldn't be happier with how they have worked. One minor flaw is that you have to be quite careful with the hard case snaps (slotted slip overs). They are easy to break. With such good luck on prior Defenders, I decided to get one when I upgraded to the Galaxy S5.The good news: same rugged quality of construction on the S5 Defender case.The REALLY good news: when I added the Samsung OEM wireless charging back cover, I managed (with some effort and a small compromise) to get the Defender case to fit over the slightly larger back cover. It isn't perfect, but it is serviceable. The snaps don't fully engage and there is a tiny separation at the bottom  (where the wired charging port connects), but, the case is held securely in place by the rubber/silicone wrap around. From the front, top, sides and back, the case looks like a perfect fit. All buttons and openings line up just as they should. Only by looking at the bottom do you notice the fit isn't perfect.The Bonus: The Samsung wireless charging adapter charges the S5 IN THE DEFENDER CASE!This is the unit I purchased on Amazon:http://www.amazon.com/gp/product/B00F358AVI/ref=oh_details_o00_s00_i00?ie=UTF8&psc;=1So, the combination of Otterbox Defender/Samsung Back Cover/Wireless Receiver/Samsung Wireless charger, work very well together, with the slight issue of the case not fitting perfectly, but workably. Positioning of the phone is very easy, it fits the charging cradle perfectly and charges at the proper rate (about half as fast as a wired connection to a 2 amp adapter).",5.0,1402617600,"06 13, 2014",Otterbox [Defender Series] Samsung Galaxy S5 Case - Retail Packaging Protective Case for Galaxy S5  - Neon Rose (Whisper White/Blaze Pink),47.3,http://ecx.images-amazon.com/images/I/41EsDA-fZHL._SY300_.jpg,{'Cell Phones & Accessories': 15295},OtterBox,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases'], ['Electronics', 'Accessories & Supplies']]"
