asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories
B008SGIQYK,A2ZR9V069NQZHB,82k,"[0, 0]",The anti glare on the Ultra Optics Dual is great and it helps prevent fingerprints. It comes with a back screen protector which was in 3 pieces and it just wasn't for me. The only reason why I didn't give it 5 stars was because when you run your finger across the screen it makes noise. It gets annoying when you're in a quiet place and when you're just trying to wipe down your screen. I personally don't hear it unless it's silent but other than that it might annoy you and other people around you.,4.0,1371859200,"06 22, 2013","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,AIBFSUAOAQVZY,Aaron S.,"[2, 3]","I actually emailed the company first to try and not write a bad review for a company that normally has great screen protectors.On that note, the front screen protector fitted perfect and was crystal clear with no bubbles, with minimum fuss.The back three pieces however are all slightly too small, especially the top and bottom clear protectors.  If I would have known this, I would have lined up the edges so my bumper would cover where the protector didn't reach.The matte finish was nice, but it seemed to have more trouble with bubbles than the front.  The apple logo and writing is of course raised so you can easily see that there is a protector on.  It doesn't go flush like the picture on Amazon.The biggest issue for me was getting a lone piece of dirt or hair under the protectors once they were down.  For example, there was a little dirt that made it on at the last moment on the back, so I pulled it up from the edge, and used the lent sticker to get the dirt off, then put the screen back down.  The bubble was gone but the edge I pulled back wouldn't go down.  This happened to me on three different edges, two on the back, and one on the front.  This was on a brand new iphone 5, I pulled of the manufacturer plastic and put on the protectors.  I have also used SGP screens in the past with no problems.Update: SGP did send a replacement.  It had the exact same issue, one corner doesn't stay down.  I didn't even bother with the back, just left on the old ones because I had a feeling the new ones would be identical.  I do have to say that the front is very very clear and is the best screen protector I've seen.  Just be very careful when you lay any of them down, because you can't get anything out without jacking up the edges.",2.0,1350259200,"10 15, 2012","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,A2JCDFX4ZW1CKJ,"A. Im ""amazonie""","[0, 0]","Key is to create dust-free environment.  A method I use is to blast hot water in the shower, wait a minute or two as the dust settles  and then apply. Follow the instructions.  It would be nice if Spigen provided a free one for the price.  That's the only reason I'm giving it 4 stars.  It's a bummer when you don't get it quite right.",4.0,1353110400,"11 17, 2012","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,A8RNZWE4GUWHZ,Amazon Customer,"[0, 0]",A big thanks to folks who invented this kind of product!Can't imagine using an iphone without this.The ultra oleophobic model solves my wife's main requirement of easy to clean surface.Definitely will buy again.,5.0,1369958400,"05 31, 2013","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,A1Z2F2BKIDHG61,Amazon Customer,"[0, 0]","I've tried all of the different types of screen protector from SGP on both iPhone 5 and iPad mini, and I've always came back to the Ultra Optics because of its balanced anti-glare and fingerprint reducing properties.  It doesn't eliminate all fingerprints, but it does make it very easy to wipe them off.  The protector doesn't affect the Retina screen like other anti-glare protectors.It's true that there's a slight squeaky sound when you swipe your finger across the screen, but not very noticeable unless if you swipe your finger with a lot of force.As for applying the protector on the screen, not much different or difficult than any other SGP protectors, so if you are used to applying screen protectors before, then you shouldn't find any difficulty with this one.Overall this is a good combination of price and quality.",5.0,1356912000,"12 31, 2012","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,A1EO0Z4ZGO82KW,Andr,"[0, 0]","It's not too oleophonic, but it's okay. Like spigen crystal protector. The most important is protect iphone very well. That's it!",3.0,1386028800,"12 3, 2013","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,A1YBZ6Q63YU7RQ,Anjan,"[0, 0]","This is exactly the screen protector I was looking for. Crystal clear non-rubberized material and really thin and you can barely tell that there is a screen protector installed. And it took me 10 minutes to install it perfectly without a problem. It is really very easy yo install if you  follow the instructions carefully. Use a clean and clear place for the install, wash your hands before you start and clean the phone thoroughly with the micro-fiber cloth before you attempt to install it.",5.0,1383004800,"10 29, 2013","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,AZUBZF1FK4C0F,Anthony,"[0, 0]","Item is great, but they never go on correct they always get stuff under them, i ruined the first one, so now im using the second one with stuff under it. they dont come off easy to remove particles so now one of my corners is messed up. im a little upset that i pain $14 and only got to use one that looks crappy.",3.0,1353283200,"11 19, 2012","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,A36W4P97JKI7NM,Anthony Lawson,"[1, 2]","SGP has an amazing following and reputation online.  Their products have been around for a long time.  However I just did not succeed in getting this new screen cover on my iPhone 5.  I battled huge dust issues with both covers and in the end both went in the trash completely wasting the money.  Headed down to the local Apple store and picked up a Power Support screen protector which installed perfectly first try.  I had Power Support on my iPhone 4s and should have known better to sway away this time around.  SGP needs to copy the Power Supply method of including a HUGE piece of dust remover sticky tape, makes the job SO much easier!",1.0,1352332800,"11 8, 2012","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
B008SGIQYK,AHNKYSR3JUPCX,A. Tam,"[0, 0]","Pros&#8226; High optical clarity. Does not degrade Retina screen visual quality.&#8226; Does not noticeably interfere with touchscreen performance/sensitivity&#8226; Does not significantly alter tactile feel of touchscreen although you can tell there is a screen film in place vs. a uncovered iPhone.&#8226; Easy to wipe down.&#8226; Undercut film size for easier applicationCons&#8226; Film is undercut just a couple mm too much so there is small gap in coverage even if the film is perfectly centered around the home button/receiver/camera.&#8226; Smudges just as with an uncovered screen&#8226; As with all films, correct application is highly user dependent. Patience, a steady hand and ensuring as dust free an environment as possible is vital.",4.0,1354665600,"12 5, 2012","SPIGEN SGP iPhone 5 Screen Protector Clear Steinheil Ultra Crystal [2-Pack] film cover shield for AT&amp;T, Verizon, Sprint, International - CLEAR",13.99,http://ecx.images-amazon.com/images/I/51sTgYmAzvL._SY300_.jpg,{'Cell Phones & Accessories': 4440},Spigen,"[['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']]"
