asin,reviewerID,reviewerName,helpful,reviewText,overall,unixReviewTime,reviewTime,title,price,imUrl,salesRank,brand,categories,sentiment
9985039998,A32ORGD6KLKM9N,BlinkDog,"[14, 22]","It's true! This cable outperforms the original! When I charge my phone, it's chargier. The data is more datery and the phone is more phoney in general. If I wear the cable around my neck like a bolo tie, people like me better and I can run faster and jump higher.  If I circle my dinner plate with it, the food tastes better. Basically this cable makes everything better than the original. I'm thinking about getting a 2nd one!",5.0,1281139200,"08 7, 2010",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",1.0
9985039998,A1CFZH0IZ00H51,BMT,"[0, 0]","This is clearly not a HTC cable as it has the Blackberry logo on it and the bulk packaging label says Blackberry...but it's a OEM micro usb cable none the less and works perfectly on any micro usb device I plugged it into.While I haven't tested it's speed against other cables I doubt it outperforms any other OEM cable but it works and that's all I asked for of it.The cable is a bit thick and as a result is stiff but not unmanageably so.It should also be noted that the cable shown in the picture is not of the actual product, that is a mini usb cable and appears to be quite a bit longer than the product, this cable is 1m long.",5.0,1289347200,"11 10, 2010",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",1.0
9985039998,AW7BADKPHS7Z0,"Frayed Knot ""frayed knot""","[0, 0]","""This cable not recommended for this device."" That is what I get for an error message. Plus it is really short.",1.0,1301443200,"03 30, 2011",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",-1.0
9985039998,A39EN5XP8LDVX8,Mike M,"[0, 0]","I only trust HTC accessories for HTC phones having bad luck with aftermarket products that are cheaper, but cheap is expensive.",5.0,1368316800,"05 12, 2013",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",1.0
9985039998,A3WS56UI56UC4,"Music Freak ""Jen""","[0, 0]","I'll never understand how one review can say this item works exactly as it should and how the next complains about it not working...for the EXACT same phone! I just don't get it. I decided to try it out despite the people that said it didn't work, and I'm glad I did. It's exactly what I expected and wanted. I actually bought 2 of these so I could leave one in my car and one at work. For only $4 and some change for the both...this was a GREAT buy for me and now I never have to worry about my Incredible running out of battery!",5.0,1291680000,"12 7, 2010",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",0.0
9985039998,A1NX0DNTOOKRUI,shygirl,"[0, 0]",I was really impressed by the price and was very excited when it arrived. But it doesn't work like it says it does. At first it charged my phone just fine but then it stopped charging; I waited a day to charge again but it still didn't charge.,3.0,1291075200,"11 30, 2010",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",-1.0
9985039998,A30ZOML3SIP2W6,walt,"[0, 0]",well bought this so i could have a spare cord since i have the original cord in my car with a usb charger there got tired of keeping track where i had it last.  so this cord works on when plugged into the wall.  when hooked to a pc phone wont stay connected to the pc to transfer files or anything.  so if you just need a cord to plug into the wall this will work but don't even think of this cord if you want to use it with a pc.,2.0,1311379200,"07 23, 2011",HTC Incredible Phone Charging USB 2.0 Data Cable,0.02,http://ecx.images-amazon.com/images/I/41J9EwOcBLL._SX300_.jpg,{'Cell Phones & Accessories': 174719},HTC,"[['Cell Phones & Accessories', 'Accessories', 'Data Cables']]",1.0
B001OOEQJ2,A8X8D4BUY5DFU,Joseph M. Seda,"[1, 2]","Not secure, and does not fit my HTC EVO 4 phone. It seems small even for the G1, but I do not have one to test. I did not realize that there was closing system such as even a zipper. I knew there was no secure flap.",2.0,1328745600,"02 9, 2012",OEM T-Mobile HTC G1 Google Phone Pocket Case Pouch,3.02,http://ecx.images-amazon.com/images/I/412sf0pJ4uL._SY300_.jpg,{'Cell Phones & Accessories': 53824},HTC,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]",1.0
B001OOEQJ2,A2XCTI9K73ISVF,Khevan Dueck,"[0, 0]","What else is there to say but it fit perfectly, the inside polished my screen so every time it was clean and it slipped in and out of my pocket easily.",5.0,1355356800,"12 13, 2012",OEM T-Mobile HTC G1 Google Phone Pocket Case Pouch,3.02,http://ecx.images-amazon.com/images/I/412sf0pJ4uL._SY300_.jpg,{'Cell Phones & Accessories': 53824},HTC,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]",1.0
B001OOEQJ2,A1JKYKL01S18LE,MadJoe,"[2, 2]","I originally had a G1 and found this pouch to be great for keeping it clean and protected in my pocket without having to worry about what else was in my pocket.  I recently upgraded to a Samsung Galaxy S and it fits quite nicely into this case, as well.  I would recommend picking a couple of these up (in case you lose it,like I did) while they're still around!",5.0,1282867200,"08 27, 2010",OEM T-Mobile HTC G1 Google Phone Pocket Case Pouch,3.02,http://ecx.images-amazon.com/images/I/412sf0pJ4uL._SY300_.jpg,{'Cell Phones & Accessories': 53824},HTC,"[['Cell Phones & Accessories', 'Cases', 'Basic Cases']]",1.0
